2204.city,Idaho Spings,Idaho Springs
2156.beername,Brodnx Pale Ale,Bronx Pale Ale
26.indexvalue,2.0,26
2370.beername,Paddy Pale Able,Paddy Pale Ale
43.breweryid,177.0,60
736.statevalue,MhA,MA
2090.stylevalue,Crea Ale,Cream Ale
66.indexvalue,3.0,66
2196.beername,Circuit Bohemia nPilsner,Circuit Bohemian Pilsner
449.beername,Solitudue,Solitude
27.indexvalue,2.0,27
1730.statevalue,HO,OH
1745.statevalue,A,PA
209.stylevalue,Americn Pale Wheat Ale,American Pale Wheat Ale
578.stylevalue,Hqerbed / Spiced Beer,Herbed / Spiced Beer
1575.stylevalue,American Strong lAe,American Strong Ale
2354.beername,Hop Seussion,Hop Session
893.stylevalue,American PA,American IPA
400.breweryname,Brewery Viant,Brewery Vivant
1047.beername,The Goleden One,The Golden One
267.stylevalue,Americn Pale Ale (APA),American Pale Ale (APA)
372.breweryname,Boeman Brewing Company,Bozeman Brewing Company
280.city,Temeucla,Temecula
37.breweryname,21st Amendment Brewmery,21st Amendment Brewery
1726.breweryname,Revloution Brewing Company,Revolution Brewing Company
1848.statevalue,A,CA
2060.breweryname,Sun King Brweing Company,Sun King Brewing Company
4.id,1592.0,2263
575.statevalue,yVA,VA
19.indexvalue,6.0,19
1809.stylevalue,American Brrown Ale,American Brown Ale
617.city,Tamspa,Tampa
251.breweryname,Big River BrewingCompany,Big River Brewing Company
29.indexvalue,2.0,29
2024.city,Huntsville***,Huntsville
1661.stylevalue,American Pale Ale (fAPA),American Pale Ale (APA)
1565.breweryname,Oskar Blue Brewery,Oskar Blues Brewery
453.beername,Brod Brook Ale,Broad Brook Ale
2195.breweryname,Tin Man Brewing Copmany,Tin Man Brewing Company
897.beername,Golden Road Hefeweizn,Golden Road Hefeweizen
1257.statevalue,AC,CA
740.statevalue,O,CO
1882.stylevalue,merican IPA,American IPA
1555.breweryname,Oskar qBlues Brewery,Oskar Blues Brewery
369.city,Westl Chester,West Chester
192.breweryname,Bare Hads Brewery,Bare Hands Brewery
735.beername,Dlores River Mild,Dolores River Mild
79.city,Lousville,Louisville
164.stylevalue,German Pilesner,German Pilsener
1064.statevalue,RO,OR
2110.statevalue,S,KS
230.beername,Bent HopG olden IPA,Bent Hop Golden IPA
1973.breweryname,Spiteul Brewing Company,Spiteful Brewing Company
1836.stylevalue,America nAmber / Red Ale,American Amber / Red Ale
2220.stylevalue,Amreican IPA,American IPA
50.indexvalue,3.0,50
1566.stylevalue,AmericanBrown Ale,American Brown Ale
1194.beername,Schoolhous Honey,Schoolhouse Honey
1847.statevalue,AC,CA
1796.statevalue,ZA,AZ
263.beername,Montana Trout Slaer Ale (2009),Montana Trout Slayer Ale (2009)
1409.stylevalue,Aerican IPA,American IPA
583.city,Charltotesville,Charlottesville
2169.city,Burlintgon,Burlington
1786.breweryname,Saint Archer Breweory,Saint Archer Brewery
1513.statevalue,RO,OR
73.breweryname,Against the Grai nBrewery,Against the Grain Brewery
2286.breweryname,Upslope Brewing Comapny,Upslope Brewing Company
17.id,2261.0,2170
160.stylevalue,German Plisener,German Pilsener
1638.stylevalue,AmericanPale Wheat Ale,American Pale Wheat Ale
1458.breweryname,New Belgium Brewnig Company,New Belgium Brewing Company
1437.breweryname,Nebraka Brewing Company,Nebraska Brewing Company
138.beername,Green Bullet Organic India PaleAle,Green Bullet Organic India Pale Ale
192.beername,Thai.pa,Thai.p.a
1633.statevalue,IM,MI
1795.beername,SanTan HefeWezizen,SanTan HefeWeizen
1735.breweryname,Rhinegeist Breweyr,Rhinegeist Brewery
608.beername,Wiregrass Post-Prohibtion Ale,Wiregrass Post-Prohibition Ale
2226.city,Seattel,Seattle
111.breweryname,Anderson Valley Brewing Compny,Anderson Valley Brewing Company
1667.stylevalue,merican Barleywine,American Barleywine
602.beername,Sugar Pluum,Sugar Plum
2253.stylevalue,American mAber / Red Lager,American Amber / Red Lager
1527.stylevalue,American Pale Ale (AP)A,American Pale Ale (APA)
51.id,2265.0,2603
782.beername,Lvoki Red Ale,Loki Red Ale
1310.stylevalue,Amezrican Pale Wheat Ale,American Pale Wheat Ale
1173.beername,Pcik Axe Blonde Ale,Pick Axe Blonde Ale
13.breweryname,18th Street Brewerky,18th Street Brewery
987.stylevalue,Widtbier,Witbier
978.stylevalue,AmericanP ale Ale (APA),American Pale Ale (APA)
33.id,2265.0,432
1870.statevalue,NpY,NY
483.beername,Joexy Wheat,Joey Wheat
1275.beername,Mabrle India Pale Ale,Marble India Pale Ale
1685.breweryname,RealAle Brewing Company,Real Ale Brewing Company
1858.beername,4Bens,4Beans
1976.city,hicago,Chicago
550.beername,Monkey Chaed the Weasel,Monkey Chased the Weasel
1140.breweryname,Joseph James Brewing Compayn,Joseph James Brewing Company
786.city,Esacada,Estacada
52.statevalue,NI,IN
1234.breweryname,Lucky Town Brewing Cmopany,Lucky Town Brewing Company
1456.breweryname,New eBlgium Brewing Company,New Belgium Brewing Company
2039.breweryname,Su King Brewing Company,Sun King Brewing Company
160.statevalue,XT,TX
377.beername,vil Owl,Evil Owl
1344.city,Chicgao,Chicago
179.statevalue,L,AL
503.breweryname,COPO Ale Works,COOP Ale Works
1723.breweryname,Revolutiown Brewing Company,Revolution Brewing Company
184.beername,Evne Keel,Even Keel
1640.breweryname,Pete's Brewing Cmpany,Pete's Brewing Company
402.breweryname,Brewery Vivajnt,Brewery Vivant
17.indexvalue,2.0,17
1047.stylevalue,Americaun Pilsner,American Pilsner
32.id,2265.0,531
2084.stylevalue,Saison / Farmhosue Ale,Saison / Farmhouse Ale
131.statevalue,C,NC
160.beername,PearlS-nap,Pearl-Snap
1995.breweryname,Stevens Point Breery,Stevens Point Brewery
183.stylevalue,American PIA,American IPA
15.statevalue,NI,IN
2244.stylevalue,American Strong Alke,American Strong Ale
1016.statevalue,VwA,VA
1781.statevalue,AC,CA
2099.beername,cTailGate IPA,TailGate IPA
787.city,Esatcada,Estacada
798.city,Chicgago,Chicago
2131.statevalue,CqO,CO
16.indexvalue,2.0,16
1115.breweryname,IntuitionA le Works,Intuition Ale Works
1065.city,Spingfield,Springfield
1033.statevalue,HeI,HI
968.stylevalue,Vienna Lger,Vienna Lager
731.stylevalue,Extra Special / Strong Bitter (ES)B,Extra Special / Strong Bitter (ESB)
680.beername,Gearys' Summer Ale,Geary's Summer Ale
1795.breweryname,SanTan Brewing Compayn,SanTan Brewing Company
1684.breweryname,Real Ale Brewing Compayn,Real Ale Brewing Company
29.statevalue,CfA,CA
925.stylevalue,Amecrican IPA,American IPA
26.id,2265.0,802
29.id,2265.0,799
1147.city,Huston,Houston
1682.city,Frot Worth,Fort Worth
1858.stylevalue,Baltic Poter,Baltic Porter
1807.breweryname,Sanitas rewing Company,Sanitas Brewing Company
23.indexvalue,4.0,23
1143.beername,Sucah Much IPA,Sucha Much IPA
1591.city,Lons,Lyons
44.stylevalue,Amejrican Blonde Ale,American Blonde Ale
1604.beername,Fresh Slice WhiteI PA,Fresh Slice White IPA
1857.breweryname,Silvertno Brewery,Silverton Brewery
2263.breweryname,Uncle Billy's Brewery ad Smokeh...,Uncle Billy's Brewery and Smokeh...
356.statevalue,A,MA
2001.beername,Point Sppecial (2013),Point Special (2013)
323.statevalue,Y,NY
695.city,Tlusa,Tulsa
2005.stylevalue,Märzen/ Oktoberfest,Märzen / Oktoberfest
977.beername,Redband Stourt,Redband Stout
44.id,2265.0,2544
269.statevalue,MwN,MN
2292.stylevalue,Vienlna Lager,Vienna Lager
923.statevalue,AcZ,AZ
282.stylevalue,American oPrter,American Porter
49.beername,Resurrectjed,Resurrected
1407.city,vKinston,Kinston
30.indexvalue,2.0,30
467.beername,Very Noddy Lager (Cuwrrent),Very Noddy Lager (Current)
1842.beername,Shipyard SummerAle,Shipyard Summer Ale
801.breweryname,Finch'ss Beer Company,Finch's Beer Company
951.statevalue,O,CO
2397.breweryname,Worthy Brewin Company,Worthy Brewing Company
26.breweryid,177.0,368
231.breweryname,ent Paddle Brewing Company,Bent Paddle Brewing Company
1967.beername,Pine Belt Pal Ale,Pine Belt Pale Ale
585.beername,Missile tIPA,Missile IPA
679.beername,Gearys Pale Ale,Geary's Pale Ale
1038.stylevalue,BelgianIPA,Belgian IPA
2409.breweryname,Wynkoop Brwing Company,Wynkoop Brewing Company
285.city,Sherdian,Sheridan
1631.breweryname,Perrin Brfewing Company,Perrin Brewing Company
343.city,Eale,Eagle
10.beername,Cone Cyrusher,Cone Crusher
496.breweryname,COASTk Brewing Company,COAST Brewing Company
2246.beername,TheG ilded Age,The Gilded Age
782.city,Estcada,Estacada
2003.city,StevensP oint,Stevens Point
483.stylevalue,American Pale Whxeat Ale,American Pale Wheat Ale
2166.city,TraverseCity,Traverse City
748.statevalue,O,CO
935.statevalue,qIN,IN
246.breweryname,Bgi Elm Brewing,Big Elm Brewing
2249.statevalue,TC,CT
1215.beername,Pistol sat Dawn,Pistols at Dawn
418.beername,Peppre in the Rye,Pepper in the Rye
109.stylevalue,AmericanA mber / Red Ale,American Amber / Red Ale
466.stylevalue,American Black le,American Black Ale
1984.statevalue,WzI,WI
1567.statevalue,iCO,CO
2183.stylevalue,California tCommon / Steam Beer,California Common / Steam Beer
2131.stylevalue,AmericanI PA,American IPA
1895.stylevalue,Americtan IPA,American IPA
247.stylevalue,Amreican Stout,American Stout
