63.flight,AA-3859-IAH-ORD,CO-1614-LAX-IAH
330.schedarrtime,4:49 pm..,4:49 p.m.
1132.flight,UA-233L-AX-JFK,UA-233-LAX-JFK
230.src,bozston,boston
85.tupleid,2.0,85
1166.actarrtime,7:40 a..m,7:40 a.m.
466.schedarrtime,10v:20 a.m.,10:20 a.m.
1305.tupleid,4437,1305
1166.actdeptime,6:57a.m.,6:57 a.m.
96.actdeptime,1:11 p.m.,12:11 p.m.
620.flight,AA-415-BOSO-RD,AA-415-BOS-ORD
1520.schedarrtime,1:39 p..,1:39 p.m.
275.src,weathejr,weather
1138.actdeptime,1:0 p.m.,1:30 p.m.
335.src,weatehr,weather
1909.actdeptime,50:8 p.m.,5:08 p.m.
879.scheddeptime,1:3 0p.m.,1:30 p.m.
793.scheddeptime,10:40 ja.m.,10:40 a.m.
719.schedarrtime,6:40 pm.,6:40 p.m.
1893.flight,UA3-82-IAD-LAX,UA-382-IAD-LAX
1146.flight,UA-2708-WR-CLT,UA-2708-EWR-CLT
1748.actarrtime,5:11a .m.,5:11 a.m.
926.actarrtime,3:2 p.m.,3:21 p.m.
1149.tupleid,-1529,1149
740.tupleid,5228,740
310.scheddeptime,1:k30 p.m.,1:30 p.m.
1387.actarrtime,11q:50 p.m.,11:50 p.m.
2337.schedarrtime,1:05 a.m.,11:05 a.m.
1400.src,orbitcz,orbitz
767.actdeptime,s4:15 p.m.,4:15 p.m.
950.flight,UA-858P-VG-SFO,UA-858-PVG-SFO
391.actdeptime,42:8 p.m.,4:28 p.m.
1946.flight,UA-3099-PHXP-HL,UA-3099-PHX-PHL
1231.actdeptime,11:32a .m.,11:32 a.m.
1923.src,qbuicktrip,quicktrip
1466.actarrtime,9:13t a.m.,9:13 a.m.
1752.scheddeptime,230 p.m.,2:30 p.m.
91.tupleid,16.0,91
1756.scheddeptime,1:55 a.m.,11:55 a.m.
606.scheddeptime,8:29 xa.m.,8:29 a.m.
1075.actarrtime,9:43 .m.,9:43 a.m.
1057.tupleid,-1531,1057
382.actdeptime,6:5a5 p.m.,6:55 p.m.
997.schedarrtime,5:05o p.m.,5:05 p.m.
1098.actarrtime,50:5 p.m.,5:05 p.m.
317.actdeptime,:248 p.m.,2:48 p.m.
126.actarrtime,2:00 p..m,2:00 p.m.
331.src,eather,weather
396.actarrtime,3:0 4p.m.,3:04 p.m.
1388.actarrtime,10p:04 a.m.,10:04 a.m.
1158.actdeptime,8:04 a..m,8:04 a.m.
2129.flight,AA-3084-PHL-ORD,AA-3804-PHL-ORD
214.src,beoston,boston
1783.src,flylouisvlile,flylouisville
2120.tupleid,4810,2120
1095.flight,A-446-DFW-PHL,AA-446-DFW-PHL
467.actdeptime,:40 a.m.,8:40 a.m.
1566.scheddeptime,2:0 p.m.,2:30 p.m.
1612.scheddeptime,7:10 a..m,7:10 a.m.
1774.scheddeptime,f9:45 a.m.,9:45 a.m.
252.actdeptime,:54 a.m.,6:54 a.m.
785.tupleid,-1215,785
491.actdeptime,8:23 pa.m.,8:23 p.m.
1219.scheddeptime,6:30 p..m,6:30 p.m.
669.flight,AA2050-ORD-MIA,AA-2050-ORD-MIA
891.scheddeptime,:55 p.m.,2:55 p.m.
112.tupleid,-1196,112
1206.scheddeptime,5:3i0 p.m.,5:30 p.m.
1859.actarrtime,9:32 ac.m.,9:32 a.m.
981.actarrtime,8:0 p.m.,8:03 p.m.
2250.flight,AA-4198-ODR-CLE,AA-4198-ORD-CLE
2238.actdeptime,8:0 a.m.,8:04 a.m.
1934.tupleid,4352,1934
110.tupleid,-1367,110
539.schedarrtime,10:5 p.m.,10:15 p.m.
872.actarrtime,5:50 fa.m.,5:50 a.m.
2137.src,busiensstravellogue,businesstravellogue
1822.schedarrtime,1:50 p.m.,11:50 p.m.
1931.schedarrtime,:40 p.m.,1:40 p.m.
59.tupleid,3.0,59
2294.actdeptime,5:08 p..,5:08 p.m.
297.flight,AA-1221-CO-ORD,AA-1221-MCO-ORD
508.src,flighvtiew,flightview
1528.src,fliytecomm,flytecomm
1785.tupleid,4390,1785
632.actarrtime,9:8 a.m.,9:28 a.m.
197.schedarrtime,7:53b p.m.,7:53 p.m.
835.flight,AU-2314-ATL-PHL,UA-2314-ATL-PHL
269.scheddeptime,:30 p.m.,2:30 p.m.
1482.actdeptime,8:29 .m.,8:29 a.m.
418.actarrtime,3s:43 p.m.,3:43 p.m.
2132.tupleid,4381,2132
1865.flight,AA-4344-ORD-DWT,AA-4344-ORD-DTW
1557.schedarrtime,35:0 p.m.,3:50 p.m.
42.tupleid,11.0,42
2050.tupleid,-1358,2050
633.scheddeptime,8s:00 a.m.,8:00 a.m.
1121.actdeptime,5:0 p.m.,5:08 p.m.
94.actarrtime,7:25 .m.,7:25 p.m.
2177.tupleid,5031,2177
934.scheddeptime,9:15 a..m,9:15 a.m.
169.actdeptime,7:25u a.m.,7:25 a.m.
73.flight,AA-1733-ORD-PHX,CO-1561-PHX-IAH
457.flight,AA-484-DFqW-MIA,AA-484-DFW-MIA
1881.actdeptime,12:12 p.mb.,12:12 p.m.
1558.actarrtime,459 p.m.,4:59 p.m.
1679.scheddeptime,7:30 au.m.,7:30 a.m.
2009.src,alegiantair,allegiantair
657.flight,UA-350-PHX-CLT,UA-3050-PHX-CLT
2232.scheddeptime,2:30 pm.,2:30 p.m.
854.src,pflights,flights
2164.flight,CO-58-DEN-AIH,CO-58-DEN-IAH
2028.flight,UA-5100-IAH-GUA,UA-1500-IAH-GUA
2187.tupleid,3929,2187
58.flight,AA-484-DFW-MIA,CO-58-DEN-IAH
41.flight,AA-1733-ORD-PHX,AA-2268-PHX-ORD
652.actdeptime,8:0 a.m.,8:00 a.m.
1918.schedarrtime,4:17 .m.,4:17 p.m.
271.schedarrtime,9:2d0 a.m.,9:20 a.m.
2153.actdeptime,9:0 p.m.,9:00 p.m.
111.flight,AA-518-MIA-JFK,AA-3756-ORD-SLC
316.src,weathre,weather
850.scheddeptime,7c:10 p.m.,7:10 p.m.
1720.tupleid,4535,1720
1758.scheddeptime,2:30 pm..,2:30 p.m.
2281.actarrtime,11:06p a.m.,11:06 a.m.
44.tupleid,18.0,44
1389.src,orbiz,orbitz
1666.src,wunderrgound,wunderground
1735.flight,UA-295-PHL-CLT,UA-2945-PHL-CLT
37.tupleid,33.0,37
1329.tupleid,-1517,1329
1720.src,wundergrozund,wunderground
2333.actdeptime,1i0:10 a.m.,10:10 a.m.
341.tupleid,4862,341
123.flight,UA-828-SFO-OaRD,UA-828-SFO-ORD
488.tupleid,-1250,488
2313.actdeptime,1:19 p..m,1:19 p.m.
2375.schedarrtime,6b:40 a.m.,6:40 a.m.
533.scheddeptime,:645 a.m.,6:45 a.m.
96.tupleid,33.0,96
161.actdeptime,11:25a p.m.,11:25 p.m.
92.tupleid,10.0,92
1318.scheddeptime,10:40a .m.,10:40 a.m.
1447.scheddeptime,2:35 p.wm.,2:35 p.m.
676.actarrtime,7t:58 p.m.,7:58 p.m.
424.scheddeptime,1:05 p..m,1:05 p.m.
1876.schedarrtime,10:0 6a.m.,10:06 a.m.
1996.schedarrtime,12:21 am.,12:21 a.m.
631.tupleid,3714,631
286.src,weahther,weather
341.schedarrtime,115:5 a.m.,11:55 a.m.
1853.scheddeptime,10:40a.m.,10:40 a.m.
1641.scheddeptime,:35 p.m.,2:35 p.m.
1694.scheddeptime,6:45p.m.,6:45 p.m.
645.flight,CO-1090-OS-IAH,CO-1090-BOS-IAH
1519.scheddeptime,1:00 p.vm.,1:00 p.m.
192.scheddeptime,3:35 .m.,3:35 p.m.
691.schedarrtime,12:92 a.m.,12:29 a.m.
54.tupleid,18.0,54
168.actdeptime,8:12 fa.m.,8:12 a.m.
1025.actarrtime,8:w53 p.m.,8:53 p.m.
2196.actdeptime,1:32 p.xm.,1:32 p.m.
688.flight,AA-3756-ORD-LSC,AA-3756-ORD-SLC
1199.actarrtime,4:23 p..m,4:23 p.m.
2291.src,flisghtaware,flightaware
2200.flight,AA-4r307-ORD-DTW,AA-4307-ORD-DTW
2333.actarrtime,h1:27 p.m.,1:27 p.m.
373.actarrtime,5:42 pm..,5:42 p.m.
1090.src,nfoxbusiness,foxbusiness
1323.scheddeptime,7:10 .am.,7:10 a.m.
1551.tupleid,3846,1551
1294.scheddeptime,u2:53 p.m.,2:53 p.m.
1916.actarrtime,3:0 4p.m.,3:04 p.m.
276.flight,AA-1664-MIAATL,AA-1664-MIA-ATL
983.actdeptime,8l:25 p.m.,8:25 p.m.
340.actarrtime,9:28a .m.,9:28 a.m.
46.flight,AA-484-DFW-MIA,AA-1544-SAN-ORD
