6133.city,HICAGO,CHICAGO
2427.city,CHICAOG,CHICAGO
2485.dba_name,FAT DEDIES EMPLOYEE CAFETERIA,FAT EDDIES EMPLOYEE CAFETERIA
1593.facility_type,Grocrey Store,Grocery Store
5676.inspectionid,5063443,1441505
61.risk,Risk 1 (igh),Risk 1 (High)
9347.city,CHICAGrO,CHICAGO
237.inspectionid,2320935.0,612322
31.city,CHIiCAGO,CHICAGO
3639.dba_name,JACKY SHOT DOGS,JACKYS HOT DOGS
297.dba_name,CELTCI CROWN,CELTIC CROWN
7270.city,CHIACGO,CHICAGO
7182.city,rCHICAGO,CHICAGO
3198.risk,Rsik 1 (High),Risk 1 (High)
9842.city,CHIAGO,CHICAGO
628.aka_name,FRANK & MRAYS,FRANK & MARYS
5393.risk,Risk 1 (iHgh),Risk 1 (High)
1715.statevalue,LI,IL
2768.address,21 W DIVISION S T,21 W DIVISION ST 
8669.statevalue,LI,IL
20.inspectionid,2320935.0,2181227
1681.risk,Risk 1 (Highn),Risk 1 (High)
8351.risk,Risk 1 (Highd),Risk 1 (High)
7191.license,33213,10306
3154.city,CHIAGO,CHICAGO
3745.risk,isk 1 (High),Risk 1 (High)
5972.statevalue,L,IL
670.city,CHICGO,CHICAGO
4542.risk,Risk 1 (Hihg),Risk 1 (High)
14.aka_name,COI,COSI
659.city,CHIAGO,CHICAGO
6157.facility_type,Resdtaurant,Restaurant
451.facility_type,Restaurnt,Restaurant
6177.aka_name,KIDDIE KARE PRE SCHoOOL,KIDDIE KARE PRE SCHOOL
8308.aka_name,SIAM NOODLES & RgICE,SIAM NOODLES & RICE
1766.facility_type,Restaruant,Restaurant
9065.risk,Risk 1 (Hijgh),Risk 1 (High)
1047.dba_name,aBREHON PUB,BREHON PUB
4798.city,CHICAkGO,CHICAGO
7989.risk,Risk 1 High),Risk 1 (High)
4913.aka_name,ANDIRSIS,ANDRISIS
64.aka_name,XANDO COFFEE & BAR  COSI SNADWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR
2746.statevalue,xIL,IL
6607.dba_name,LAZO STACOS INC,LAZOS TACOS INC
8743.dba_name,DINuKELS BAKERY INC,DINKELS BAKERY INC
3883.statevalue,LI,IL
1925.statevalue,nIL,IL
6270.city,CHICGAO,CHICAGO
2424.city,HCICAGO,CHICAGO
2789.license,-12153,2217
2103.inspectionid,-486712,1285858
8196.zip,51515,60616
2700.statevalue,hIL,IL
9076.aka_name,CHINAk DOLL,CHINA DOLL
36.inspectionid,1607237.0,2222357
6468.dba_name,WALDO COONEYS PIZA,WALDO COONEYS PIZZA
8639.risk,Riesk 1 (High),Risk 1 (High)
9525.address,333 W 35TH T ,333 W 35TH ST 
190.inspectionid,114767.0,659693
5988.aka_name,AROLDS CHICKEN SHACK,HAROLDS CHICKEN SHACK
5117.aka_name,HUC KFINN,HUCK FINN
4770.city,HCICAGO,CHICAGO
3449.facility_type,nRestaurant,Restaurant
2029.facility_type,estaurant,Restaurant
2019.statevalue,L,IL
440.license,31608,691
2829.risk,Rsik 2 (Medium),Risk 2 (Medium)
9725.address,3561 N RBOADWAY ,3561 N BROADWAY 
49.city,CHIAGO,CHICAGO
3756.risk,Ris k2 (Medium),Risk 2 (Medium)
8580.facility_type,dRestaurant,Restaurant
3826.dba_name,TONYSITALIAN BEEF,TONYS ITALIAN BEEF
3305.risk,isk 1 (High),Risk 1 (High)
2002.statevalue,LI,IL
2529.license,-16011,1932
8539.city,CHCIAGO,CHICAGO
7965.aka_name,MISERICORDIA BAKEYR,MISERICORDIA BAKERY
5093.city,CHICAGvO,CHICAGO
3039.address,3441 S ARCHER AVE ,3414 S ARCHER AVE 
3987.address,6656 W DIVERSEY AVoE ,6656 W DIVERSEY AVE 
5872.dba_name,THOMA SCOFFEE SHOP,THOMAS COFFEE SHOP
8838.city,CHICAO,CHICAGO
8568.address,1600 Wt IRVING PARK RD ,1600 W IRVING PARK RD 
4737.statevalue,L,IL
1826.address,2914 N CLARK T ,2914 N CLARK ST 
8218.facility_type,Restarurant,Restaurant
4509.city,CHICAOG,CHICAGO
8411.facility_type,Retsaurant,Restaurant
6075.city,CHICAOG,CHICAGO
79.statevalue,jIL,IL
7465.aka_name,pGLORIAS TACOS,GLORIAS TACOS
9579.facility_type,Restuarant,Restaurant
5725.statevalue,IhL,IL
104.inspectionid,1977093.0,124297
7775.city,HICAGO,CHICAGO
4086.dba_name,ARAMARK @ wAMERITECH,ARAMARK @ AMERITECH
1839.aka_name,ARIES PIZZA & LIQUORS,MARIES PIZZA & LIQUORS
7073.risk,Risk 1 (Highd),Risk 1 (High)
5175.statevalue,L,IL
8047.aka_name,SUPERERCADO ROMAN,SUPERMERCADO ROMAN
2295.facility_type,Restaugrant,Restaurant
2111.aka_name,ST MARGARET MARYSCHOOL,ST MARGARET MARY SCHOOL
1061.statevalue,L,IL
8277.dba_name,THE HIDDEN SHAMROpCK,THE HIDDEN SHAMROCK
6608.dba_name,ALZOS TACOS INC,LAZOS TACOS INC
658.city,CHICAOG,CHICAGO
53.inspectionid,2050308.0,409239
9345.dba_name,AHWKEYES BAR & GRILL INC,HAWKEYES BAR & GRILL INC
8086.risk,Risk 1 (Hzigh),Risk 1 (High)
3139.aka_name,PARISISDRIVE IN,PARISIS DRIVE IN
8882.license,-16929,13388
9168.aka_name,ALID,ALDI
2748.risk,Rislk 1 (High),Risk 1 (High)
5702.dba_name,HICAGO BRAUHAUS INC,CHICAGO BRAUHAUS INC
2432.facility_type,estaurant,Restaurant
7984.risk,Risk c1 (High),Risk 1 (High)
4870.statevalue,IjL,IL
7279.aka_name,BIRCKS,BRICKS
4090.risk,Rsik 1 (High),Risk 1 (High)
886.dba_name,BEEF AsND BRANDY RESTAURANT,BEEF AND BRANDY RESTAURANT
7962.risk,Risk 2 (Mezdium),Risk 2 (Medium)
39.inspectionid,1970902.0,2078535
1434.dba_name,JEWEL FOOD STORE d#3514,JEWEL FOOD STORE #3514
2507.facility_type,iSchool,School
3285.dba_name,BYRONS KITCHNES,BYRONS KITCHENS
8962.facility_type,Reostaurant,Restaurant
9149.risk,iRsk 3 (Low),Risk 3 (Low)
2140.risk,Risk 1 (Hgih),Risk 1 (High)
9082.statevalue,LI,IL
9081.facility_type,Retaurant,Restaurant
51.inspectionid,1607237.0,679677
6189.statevalue,InL,IL
1307.zip,30693,60620
6194.aka_name,EqLIS CHEESECAKE WORLD,ELIS CHEESECAKE WORLD
685.risk,Ris 1 (High),Risk 1 (High)
1295.address,5320 S UPLASKI RD ,5320 S PULASKI RD 
1690.address,293436 N SHEFFIELD VAE ,293436 N SHEFFIELD AVE 
9804.zip,68359,60612
990.facility_type,Restauranzt,Restaurant
2839.inspectionid,-463679,2538226
5979.dba_name,HAROLD CHICKEN SHACK,HAROLDS CHICKEN SHACK
8583.statevalue,L,IL
8625.aka_name,SALENOS,SALERNOS
7073.address,8300 S KEZDIE AVE ,8300 S KEDZIE AVE 
2929.city,CHeICAGO,CHICAGO
128.statevalue,pIL,IL
7958.aka_name,MSIERICORDIA BAKERY,MISERICORDIA BAKERY
904.city,CICAGO,CHICAGO
37.inspectionid,2320935.0,2151032
7028.city,CHICAO,CHICAGO
712.risk,Risk1 (High),Risk 1 (High)
9258.facility_type,Grocery Stroe,Grocery Store
864.zip,57592,60639
5627.facility_type,Restauant,Restaurant
4984.statevalue,IeL,IL
5154.facility_type,Restauarnt,Restaurant
5826.city,CICAGO,CHICAGO
3263.aka_name,EASTERN rSTYLE PIZZA II LT,EASTERN STYLE PIZZA II LT
9655.dba_name,TObPO GIGIO RISTORANTE,TOPO GIGIO RISTORANTE
6616.dba_name,TUXEDO JUNCTIO #2,TUXEDO JUNCTION #2
6705.risk,Risk 2 (Medum),Risk 2 (Medium)
1018.aka_name,ITALIAN VIzLLAGE  VIVERE,ITALIAN VILLAGE  VIVERE
3599.risk,Risk 1 High),Risk 1 (High)
136.zip,49059,60614
994.statevalue,L,IL
6448.statevalue,LI,IL
8322.aka_name,FERROS***,FERROS
2782.address,p4810 W DIVERSEY AVE ,4810 W DIVERSEY AVE 
1926.facility_type,Repstaurant,Restaurant
7832.zip,50094,60614
1534.aka_name,JEWEL FOOD STOER #3241,JEWEL FOOD STORE #3241
6580.dba_name,SABAS VEG AINC,SABAS VEGA INC
298.inspectionid,2320935.0,1188688
2757.aka_name,Jones Aacdemy High School,Jones Academy High School
2405.license,-12622,1876
5820.zip,75216,60641
2000.aka_name,HLELAS GYROS,HELLAS GYROS
6369.city,CHCAGO,CHICAGO
4832.facility_type,Grocery Stoer,Grocery Store
1525.facility_type,Gorcery Store,Grocery Store
555.risk,Riks 1 (High),Risk 1 (High)
664.city,CHICAO,CHICAGO
4274.risk,Rsik 2 (Medium),Risk 2 (Medium)
9173.city,CHICGAO,CHICAGO
1640.aka_name,JEWEL FOOD STORES #322,JEWEL FOOD STORES #3262
7003.zip,68550,60625
3607.dba_name,STELLAS DINpER,STELLAS DINER
4201.dba_name,MARIO S BUTCHER SyHOP FD CNTR,MARIO S BUTCHER SHOP FD CNTR
7072.aka_name,L & M STALRIGHT RESTAURANT INC,L & M STARLIGHT RESTAURANT INC
4499.risk,Risk 1 (Higoh),Risk 1 (High)
6487.statevalue,tIL,IL
4226.aka_name,CAPRI PIZA,CAPRI PIZZA
9684.license,-16723,14737
2063.facility_type,Grocer Store,Grocery Store
177.inspectionid,2144871.0,1965749
9484.address,33 3W 35TH ST ,333 W 35TH ST 
7510.dba_name,FAIRPLAY FINER OFOD,FAIRPLAY FINER FOOD
5407.risk,Risk 1m (High),Risk 1 (High)
