license(long),dba_name,aka_name,facility_type,risk,address,city,statevalue,zip(long),inspectionid(long),labelvalue(double precision)
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2472642,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2320935,NULL
2,COSI,COSI,Restauant,Risk 1 t(High),230 W MONROE ST ,CHICAGO,IL,60606,2144871,NULL
2,COSI,rCOSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2050308,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1977093,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1970902,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CIHCAGO,IL,60606,1970312,NULL
2,CqOSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1684285,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1607237,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1418938,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1447571,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1447264,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1324560,NULL
2,COSI,COI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,680088,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,679663,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,114767,NULL
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,229468,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,1418938.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,3660282,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,2320935.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,2181605,NULL
