6823.county_name,SAN MAzTEO,SAN MATEO
5328.county_name,BUTET,BUTTE
2809.statevalue,ZA,AZ
6827.measureid,OdP_18b,OP_18b
5531.measureid,ED1b,ED_1b
6883.county_name,ALAEDA,ALAMEDA
3728.city,LTTLE ROCK,LITTLE ROCK
7457.city,SANTA MONItCA,SANTA MONICA
5924.providerid,95842,50100
3403.county_name,NAAVJO,NAVAJO
5909.conditionvalue,Blood Clot Prevention adnd Treatment,Blood Clot Prevention and Treatment
8791.statevalue,A,CA
1942.county_name,KODIAK IbSLAND BOROUGH,KODIAK ISLAND BOROUGH
61.measureid,ED_1b,IMM_2
1703.statevalue,K,AK
2155.county_name,YAVAAI,YAVAPAI
9883.statevalue,fCA,CA
4028.statevalue,AwR,AR
2087.statevalue,KA,AK
832.county_name,FAYETE,FAYETTE
260.providerid,10001.0,10024
1971.conditionvalue,Cancer caer,Cancer care
795.statevalue,fAL,AL
5960.city,RIVERSaIDE,RIVERSIDE
5393.county_name,ALMAEDA,ALAMEDA
6596.phone_number,15733654396,8056526075
3724.county_name,PLK,POLK
156.zip_code,32233,35233
4914.county_name,CHICTO,CHICOT
5401.county_name,MPERIAL,IMPERIAL
5586.statevalue,A,CA
2194.county_name,PIdMA,PIMA
6780.measureid,O_5,OP_5
5508.statevalue,AC,CA
5082.statevalue,AC,CA
5645.city,pWALNUT CREEK,WALNUT CREEK
4671.city,CLINTN,CLINTON
1127.city,UNION SPRNIGS,UNION SPRINGS
1576.city,CLANTqON,CLANTON
371.phone_number,3.347938701E9,3342228466
8701.conditionvalue,Sepssi Care,Sepsis Care
7447.providerid,-312,50289
2146.conditionvalue,Sepis Care,Sepsis Care
7826.zip_code,25462,95240
5690.county_name,ALMEDA,ALAMEDA
1549.conditionvalue,Emeregncy Department,Emergency Department
4908.phone_number,-3038728114,8702655351
3210.measureid,SEPr_1,SEP_1
4989.phone_number,17991157294,5013641100
3023.measureid,ED_b,ED_1b
5789.city,STOKTON,STOCKTON
3016.city,ORO VALEY,ORO VALLEY
8155.county_name,SANTABARBARA,SANTA BARBARA
2605.conditionvalue,Emergency bDepartment,Emergency Department
8222.statevalue,AC,CA
245.statevalue,jAL,AL
127.measureid,EDV,OP_31
8701.county_name,ARIN,MARIN
5495.city,VISLAIA,VISALIA
4273.statevalue,RA,AR
3198.statevalue,ZA,AZ
5091.measureid,SlEP_1,SEP_1
9145.city,LAKEWOD,LAKEWOOD
3363.providerid,-293,31307
3360.county_name,LAPZA,LAPAZ
2797.county_name,MARICOA,MARICOPA
3070.zip_code,175489,85297
5579.providerid,99699,50067
8158.measureid,OP18c,OP_18c
4673.city,CLINOTN,CLINTON
3808.measureid,OPh_2,OP_2
4423.conditionvalue,Heart Attac kor Chest Pain,Heart Attack or Chest Pain
2459.measureid,P_2,OP_2
144.providerid,10001.0,10016
70.providerid,10001.0,10007
57.zip_code,36301.0,35630
1642.measureid,OP2_,OP_2
6625.conditionvalue,Cataract surgeyr outcome,Cataract surgery outcome
1729.statevalue,KA,AK
4345.conditionvalue,Cataract surgey outcome,Cataract surgery outcome
9398.statevalue,AC,CA
3251.conditionvalue,Ememrgency Department,Emergency Department
7008.conditionvalue,Heart Attack orC hest Pain,Heart Attack or Chest Pain
1644.zip_code,35199,35121
2047.statevalue,AbK,AK
146.phone_number,3.347938701E9,2056208100
5699.county_name,vALAMEDA,ALAMEDA
8067.city,SN JOSE,SAN JOSE
1186.city,BSSEMER,BESSEMER
235.providerid,10001.0,10023
8712.county_name,LAMEDA,ALAMEDA
5854.measureid,E_D1b,ED_1b
7426.county_name,ALAMjEDA,ALAMEDA
1843.statevalue,AsK,AK
6838.statevalue,CnA,CA
1571.city,CLANTNO,CLANTON
124.phone_number,3.347938701E9,2568453150
8023.statevalue,A,CA
1206.county_name,ALLAS,DALLAS
8100.city,HMET,HEMET
3414.statevalue,ZA,AZ
5905.measureid,OP3_b,OP_3b
5061.county_name,SAN vMATEO,SAN MATEO
3630.conditionvalue,Emregency Department,Emergency Department
1364.measureid,OP3b,OP_3b
5263.county_name,HUMBODT,HUMBOLDT
4927.phone_number,16548344342,8704233355
5134.conditionvalue,reventive Care,Preventive Care
243.phone_number,3.347938701E9,3342882100
1647.city,wONEONTA,ONEONTA
9430.measureid,OP_8b,OP_18b
336.phone_number,3.347938701E9,3342836541
806.city,DECATR,DECATUR
3658.county_name,ENTON,BENTON
2631.conditionvalue,Emergeoncy Department,Emergency Department
2803.city,SUN mCITY WEST,SUN CITY WEST
135.phone_number,3.347938701E9,2056208100
5381.county_name,LAAMEDA,ALAMEDA
1772.statevalue,K,AK
689.city,AELXANDER CITY,ALEXANDER CITY
6045.providerid,-256,50110
4964.statevalue,RA,AR
8158.conditionvalue,mergency Department,Emergency Department
6580.conditionvalue,Emergency epartment,Emergency Department
544.measureid,OP_b30,OP_30
3158.providerid,119502,30131
1757.measureid,OP_t22,OP_22
1826.statevalue,rAK,AK
347.zip_code,35066,35058
38.city,BoOAZ,BOAZ
1624.city,BULER,BUTLER
2724.conditionvalue,Emergency Deaprtment,Emergency Department
24.measureid,OP_18b,IMM_3_OP_27_FAC_ADHPCT
8563.county_name,AAMEDA,ALAMEDA
1219.zip_code,174789,36460
3132.conditionvalue,Heart Atack or Chest Pain,Heart Attack or Chest Pain
7219.measureid,EP_1,SEP_1
1339.county_name,MADSION,MADISON
5.phone_number,2.56593831E9,3347938701
6040.measureid,PCi_01,PC_01
4990.providerid,111234,43300
8951.statevalue,A,CA
700.measureid,OP5_,OP_5
8871.city,DAjVIS,DAVIS
8383.county_name,dMERCED,MERCED
4993.city,LITLTE ROCK,LITTLE ROCK
2060.county_name,NORTtH SLOPE BOROUH,NORTH SLOPE BOROUH
7593.statevalue,aCA,CA
4843.statevalue,RA,AR
1192.zip_code,35077,35021
9748.county_name,AN BERNARDINO,SAN BERNARDINO
3644.zip_code,165611,72205
5966.zip_code,27684,92503
6604.conditionvalue,Coslonoscopy care,Colonoscopy care
3762.statevalue,RA,AR
691.phone_number,-2628182961,2563297100
8379.statevalue,AC,CA
297.providerid,10001.0,10032
6311.county_name,MARNI,MARIN
9390.statevalue,A,CA
5327.zip_code,176774,95926
2838.conditionvalue,Emergency Depratment,Emergency Department
276.phone_number,3.347938701E9,3347493411
4661.county_name,VAN BREN,VAN BUREN
7119.county_name,LOS AlNGELES,LOS ANGELES
1782.statevalue,pAK,AK
1741.statevalue,KA,AK
34.city,BOZ,BOAZ
869.city,JASPRE,JASPER
9467.measureid,IMM_3_OP_27_AFC_ADHPCT,IMM_3_OP_27_FAC_ADHPCT
1315.conditionvalue,Prevenutive Care,Preventive Care
45.phone_number,3.347938701E9,2567688400
881.statevalue,zAL,AL
276.providerid,10001.0,10029
8187.statevalue,AC,CA
3535.conditionvalue,Eemrgency Department,Emergency Department
6315.conditionvalue,Emergency Departzment,Emergency Department
8353.conditionvalue,olonoscopy care,Colonoscopy care
4238.city,LITTLE ROCK***,LITTLE ROCK
411.phone_number,3.347938701E9,2562651000
3898.measureid,ED2b,ED_2b
3325.conditionvalue,Blood Clot Prevention oand Treatment,Blood Clot Prevention and Treatment
9907.statevalue,AC,CA
6244.statevalue,ChA,CA
46.providerid,10001.0,10006
6190.statevalue,A,CA
3675.county_name,YLL,YELL
5692.county_name,ALAMEqDA,ALAMEDA
647.measureid,EDsV,EDV
9795.providerid,120368,50714
8358.measureid,dPC_01,PC_01
2091.city,SIKTA,SITKA
8721.county_name,ALMEDA,ALAMEDA
4676.phone_number,21486091077,8709463571
9861.statevalue,cCA,CA
2546.conditionvalue,Bood Clot Prevention and Treatment,Blood Clot Prevention and Treatment
4142.zip_code,26399,72076
251.zip_code,36301.0,36106
7036.measureid,OP_1b8,OP_18b
5674.county_name,SOLAON,SOLANO
3842.conditionvalue,reventive Care,Preventive Care
6279.conditionvalue,mergency Department,Emergency Department
1771.statevalue,K,AK
1247.conditionvalue,Colonoscopy caer,Colonoscopy care
9472.county_name,LOS ANGELSE,LOS ANGELES
614.zip_code,35079,35042
3424.county_name,CCOHISE,COCHISE
9837.measureid,OPw_33,OP_33
7404.county_name,LOS AGNELES,LOS ANGELES
2412.statevalue,Z,AZ
778.city,ATdHENS,ATHENS
6821.county_name,ALAMEA,ALAMEDA
346.zip_code,35158,35058
308.city,BIRMINHAM,BIRMINGHAM
287.phone_number,3.347938701E9,2563572111
8077.county_name,LOS ANGwELES,LOS ANGELES
9478.measureid,mOP_5,OP_5
9510.statevalue,A,CA
7660.county_name,SAN JOQUIN,SAN JOAQUIN
457.conditionvalue,Emergenyc Department,Emergency Department
9802.city,SATA CRUZ,SANTA CRUZ
9009.conditionvalue,Emergenciy Department,Emergency Department
8781.conditionvalue,Emergency Departmenft,Emergency Department
2738.measureid,ED1b,ED_1b
102.statevalue,AqL,AL
86.providerid,10001.0,10008
5389.county_name,LAAMEDA,ALAMEDA
2548.statevalue,ZA,AZ
8718.county_name,LAMEDA,ALAMEDA
8235.city,OLSOM,FOLSOM
9269.conditionvalue,Heatr Attack or Chest Pain,Heart Attack or Chest Pain
4058.statevalue,AsR,AR
2729.measureid,OP_3w0,OP_30
8183.statevalue,CeA,CA
7340.city,MISSION HILtLS,MISSION HILLS
150.phone_number,3.347938701E9,2056208100
8395.statevalue,CeA,CA
8877.conditionvalue,Preventvie Care,Preventive Care
5063.conditionvalue,Emergency Dpeartment,Emergency Department
120.providerid,10018,10012
5593.conditionvalue,Emergencdy Department,Emergency Department
5432.measureid,PC_0m1,PC_01
6176.measureid,EtDV,EDV
3257.city,ICKENBURG,WICKENBURG
8725.county_name,SAN DEIGO,SAN DIEGO
104.phone_number,3.347938701E9,2058383122
746.city,NANISTON,ANNISTON
9534.conditionvalue,Heart Attacrk or Chest Pain,Heart Attack or Chest Pain
6248.conditionvalue,Heart Attack or Chest nPain,Heart Attack or Chest Pain
30.measureid,IMM_2,OP_29
191.zip_code,36301.0,36360
1762.measureid,OfP_33,OP_33
2774.city,GLENDAEL,GLENDALE
4456.measureid,OP_2q3,OP_23
3723.conditionvalue,Syepsis Care,Sepsis Care
9180.county_name,LOjS ANGELES,LOS ANGELES
3379.county_name,PNIAL,PINAL
2505.statevalue,ZA,AZ
2102.city,ITKA,SITKA
9188.zip_code,31146,91773
8036.measureid,SEP_u1,SEP_1
7710.zip_code,23019,94602
28.phone_number,2565938317,2565938310
5693.county_name,ALAMEDdA,ALAMEDA
