providerid(long),city,statevalue,zip_code(long),county_name,phone_number(long),conditionvalue,measureid,labelvalue(double precision)
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,EDV,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_1b,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_2b,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_2,NULL
10007.0,DOTHAN,AL,36301,HOUSTON,2.56593831E9,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10005.0,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18b,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18c,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_18b,NULL
10001,DOtTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,IMM_2,NULL
10001,DOTHAN,LA,36301,OUSTON,3347938701,Emergency Department,OP_23,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,IMM_2,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,ED_1b,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Cataract surgery outcome,OP_31,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Cancer care,OP_33,NULL
10001,DOTHAN,LA,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_3b,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_5,NULL
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Pregnancy and Delivery Care,PC_01,NULL
10001,DOTHmAN,AL,36301,HOUSTON,3347938701,Sepsis Care,SEP_1,NULL
10001,DOTHAN,AL,27774,HOUSTON,3347938701,Blood Clot Prevention and Treatment,VTE_6,NULL
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,EDV,NULL
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_1b,NULL
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_2b,NULL
10005,OAZ,AL,35957,MARSHALL,2565938310,Preventive Care,IMM_2,NULL
10005,BOAZ,AL,36301.0,MARSHALL,2565938328,Preventive Care,OP_18b,NULL
10005,BOZA,AL,35957,MARSHALL,2565938322,Emergency Department,OP_18b,NULL
10001.0,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Departmenzt,OP_18c,NULL
10005,OBAZ,AL,35957,MARSHALL,2565938352,Heart Attack or Chest Pain,OP_2,NULL
10005,BOAZ,L,35957,MARSHALL,2565938317,Emergency Department,OP_22,NULL
10005,BOAZ,AL,35957,MARSHALL,2565938388,Emergency Department,OP_23,NULL
10001.0,BOAZ,AL,36301.0,MARSHALL,2565938310,Colonoscopy care,IMM_2,NULL
10005,BAOZ,AL,36301.0,MARSHALL,3.347938701E9,Colonoscopy care,OP_30,NULL
10005,BAOZ,AL,35957,MARSHALL,2565938347,Cataract surgery outcome,OP_31,NULL
10005,BAZ,LA,35957,MARSHALL,2565938310,ancer care,OP_33,NULL
10005,BOZ,AL,35957,MARSHALL,2565938376,Heart Attack or Chest Pain,OP_3b,NULL
10005,BOAZ,AL,36301.0,MARSHALL,2565938381,Heart Attack or Chest Pain,OP_5,NULL
10005,BOAZ,AL,35957,MARSHALL,2565938325,Pregnancy and Delivery Care,PC_01,NULL
10005,BeOAZ,AL,36301.0,MARSHALL,3.347938701E9,Sepsis Care,SEP_1,NULL
10005,BoOAZ,AL,35957,MARSHALL,2565938407,Blood Clot Prevention and Treatment,VTE_6,NULL
10001.0,FLORENCE,AL,36301.0,LAUDERDALE,2567688400,Emergency Department,EDV,NULL
10001.0,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,ED_1b,NULL
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,D_2b,NULL
10006,FLORENCE,AL,36301.0,LAUDERDALE,2567688468,Preventive Care,OP_18c,NULL
10006,FLORfENCE,AL,35630,LAUDERDALE,2567688400,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,OP_18b,NULL
10006,FLORNECE,AL,35630,LAUDERDALE,3.347938701E9,Emergency Department,OP_18c,NULL
10001.0,FLORENCE,AL,35630,LAUDERDALE,2567688400,Heart Attack or Chest Pain,OP_2,NULL
10006,FLOiRENCE,AL,35630,LAUDERDALyE,2567688482,Emergency Departmnt,OP_22,NULL
10006,iFLORENCE,AL,36301.0,LAUDERDALE,2567688480,Emergency Department,OP_23,NULL
10006,LORENCE,AL,35630,LAUDERDALE,2567688456,Colonoscopy care,OP_29,NULL
10006,FLORExNCE,AL,35630,LAUDERDALE,2567688435,Colonoscopy care,OP_30,NULL
10001.0,FLORENCE,AL,35630,LAUDERDALE,2567688400,Cataract surgery outcome,OP_31,NULL
10006,FOLRENCE,AL,35630,LAUDERDALE,2567688433,Cancer care,OP_33,NULL
10001.0,FLORENCE,AL,36301.0,LAUDERDALE,3.347938701E9,Heart Attack or Chest Pain,OP_3ub,NULL
10006,LORENCE,AL,35630,LAUDERDALE,2567688464,Heart Attack or Chest Pain,OP_5,NULL
10001.0,FLORECE,AL,35630,LAUDERDALE,2567688400,Pregnancy and Delivery Care,PC_01,NULL
10006,FLORENCE,AL,36301.0,LAUDERDALE,2567688428,Sepsis Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,FLORENCE,AL,36301.0,LAUDERDALE,2567688400,Blood Clot Prevention and Treatment,VTE_6,NULL
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,EDV,NULL
10007,OPP***,AL,36467,COVINGTON,3344933541,Emergency Department,IMM_2,NULL
10007,OPjP,bAL,36467,COVINGTON,3344933613,Emergency Department,ED_2b,NULL
10007,PP,AL,36467,COVINGTjON,3344933618,Preventive Care,ED_1b,NULL
10007,PP,AL,36467,COVINGTON,3344933631,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10007,OPP,AL,36467,COVINGTON,3344933584,Emergency Department,OP_18b,NULL
10007,OP,AL,36467,COVINGTON,3344933541,Emergency Department,IMM_2,NULL
10007,OPP,AL,36301.0,COVINGTON,3344933541,Heart Attack or Chest Pain,OP_18c,NULL
10007,OPP,AL,36467,COVINGTON,3.347938701E9,Emergency Department,OP_22,NULL
10007,OPP,AL,36301.0,COVINGTON,3344933600,Emergency Department,OP_23,NULL
10007,OPP,AL,36301.0,COVINGTON,3344933548,Colonoscopy care,OP_29,NULL
10007,PP,AL,36467,COVINGTON,3.347938701E9,Colonoscopy care,OP_30,NULL
10001.0,OPP,AL,36467,COVINGTON,3344933541,Cataract surgery outcome,OP_31,NULL
10007,PP,AL,36467,COVINGTON,3344933608,Cancer care,OP_33,NULL
10007,OP,AL,36467,COVINGTON,3344933604,Heart Attack or Chest Pain,OP_3b,NULL
10007,OPP,AL,36467,COVINGTON,3344933606,Heart Attack or Chest Pain,OP_5,NULL
10001.0,OPP,AL,36467,COVINGTON,3344933541,Pregnancy and Delivery Care,PC_01,NULL
10007,OPP,AL,36467,COVINGTON,3344933610,Sepsis Care,SEP_1,NULL
10007,OzPP,AL,36467,COVINGTON,3344933603,Blood Clot Prevention and Treatment,VTE_6,NULL
10001.0,LUVERNE,AL,36049,CERNSHAW,3343353374,Emergency Department,EDV,NULL
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,ED_1b,NULL
10008,LUVERNE,AL,36049,CRENSHAW,3.347938701E9,Emergency Department,ED_2b,NULL
10044,LUVERNE,AL,36301.0,CRENSHAW,3343353374,Preventive Care,ED_2b,NULL
10008,LUVERNE,AL,36301.0,CRENSHAW,3.347938701E9,Preventive Care,ED_1b,NULL
10008,LUVEREN,AL,36049,CRENSHAW,3343353374,Emergency Department,OP_18b,NULL
10008,LUVRENE,AL,36049,CRENSHAW,3.347938701E9,Emergency Department,OP_18c,NULL
10008,LUVERNE,AL,36301.0,CRENSHAW,3.347938701E9,Heart Attack or Chest Pain,OP_2,NULL
10001.0,LUVERNE,AL,36301.0,CRENSHAW,3343353374,Emergency Department,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,LUVERNE,AL,36301.0,CRENSHAW,3343353374,Emergency Department,OP_23,NULL
10008,LUVERNE,AL,36049,CRENSHAW,3.347938701E9,Colonoscopy care,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,LUVERNE,AL,36049,CRENSHAW,3.347938701E9,Colonoscopy care,OP_30,NULL
10016,LUVERNE,AL,36049,CRENSHAW,3343353374,Cataract surgery outcome,OP_31,NULL
10008,LUVERNE,AL,36049,CRENSHAW,3.347938701E9,Cancer care,OP_33,NULL
10008,LUVERvNE,AL,36049,CRENSHAW,3343353374,Heart Attack or Chest Pain,OP_3b,NULL
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Heart Attack or Chest Pain,OP_5,NULL
10074,LUVERNE,AL,36049,CRENSHAW,3343353374,Pregnancy and Delivery Care,OP_18c,NULL
10001.0,LUVERNE,AL,36049,CRENSHAW,3343353374,Sepsis Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10081,LUVERNE,AL,36049,CRENSHAW,3343353374,Blood Clot Prevention and Treatment,VTE_6,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Emergency Department,EDV,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Emergency Department,gED_1b,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Emergency Department,IMM_3_OP_27_FAC_ADHPCT,NULL
10011,BIRMIGHAM,AL,35235,JEFFERSON,3.347938701E9,Preventive Care,IMM_2,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Emergency Department,OP_18b,NULL
10053,BIRMINGHAM,AqL,35235,JEFFERSON,2058383122,Emergency Department,OP_18c,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Heart Attack or Chest Pain,OP_2,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Emergency Department,OP_22,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Emergenyc Department,OP_23,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Colonoscopy care,OP_29,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Colonoscopy care,OP_30,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Cataract surgery outcome,OP_31,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Cancer care,OP_33,NULL
10105,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Heaprt Attack or Chest Pain,OP_3b,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Heart Attack or Chest Pain,ED_2b,NULL
10011,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Pregnancy and Delivery Care,PC_01,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Sepsis Care,SEP_1,NULL
10001.0,BIRMINGHAM,AL,35235,JEFFERSON,3.347938701E9,Blood Clot Prevention and Treatment,VTE_6,NULL
10001.0,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Emergency Department,EDV,NULL
10012,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Emergency Department,ED_1b,NULL
10012,FORT PAYNE,AL,35968,DE KALB,2568453150,Emergency Department,ED_2b,NULL
10043,FORT PAYNE,AL,35968,DE KALB,2568453150,Preventive Care,ED_1b,NULL
10012,FORT PAYNE,AL,35968,DE KALB,2568453150,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10018,FORT PAYNE,AL,35968,DE KALB,2568453150,Emergency Departmnet,OP_18b,NULL
10001.0,FORT PAYNE,AL,36301.0,DE KALB,2568453150,Emergency Department,P_18c,NULL
10001.0,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Heart Attack or Chest Pain,OP_2,NULL
10012,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Emergency Department,OP_22,NULL
10012,FORT PAYNE,AL,37927,DE KALB,3.347938701E9,Emergency Department,OP_23,NULL
10012,FORT PAYNE,AL,35968,DE KALB,2568453150,Colonoscopy care,OP_29,NULL
10001.0,FORT PAYNE,AL,35968,DE KALB,2568453150,Colonoscopy care,OP_30,NULL
10012,FORT PAYNE,AL,35968,DE KALB,2568453150,Cataract surgery outcome,EDV,NULL
10001.0,FORT PAYNE,AL,35968,DE KALqB,3.347938701E9,Cancer care,OP_33,NULL
10012,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Heart Attack or Chest Pain,OP_3b,NULL
10012,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Heiart Attack or Chest Pain,OP_5,NULL
10001.0,FORT PAYNE,AL,35968,DE KALB,3.347938701E9,Pregnancy and Delivery Care,ED_1b,NULL
10001.0,FORT PAYNE,AL,35968,DE KALB,2568453150,Sepsis Care,SEP_1,NULL
