providerid,city,statevalue,zip_code,county_name,phone_number,conditionvalue,measureid,Label
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,EDV,0
10001,DOTHAN,AL,36301,SAN BERNARDINO,3347938701,Emergency Department,ED_1b,1
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_2b,0
10001,DOTHAN,CA,36301,HOUSTON,3347938701,Preventive Care,IMM_2,1
10001,ANDALUSIA,AL,36301,HOUSTON,2059264881,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,1
10001,WEST HILLS,CA,36301,HOUSTON,3347938701,Emergency Department,OP_18b,1
30062,DOTHAN,AL,36301,HOUSTON,7074648880,Emergency Department,OP_18c,1
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_2,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_22,0
20017,WOODLAND HILLS,AL,36301,SEVIER,3347938701,Emergency Department,OP_23,1
50376,DOTHAN,AL,36301,CALHOUN,3347938701,Heart Attack or Chest Pain,OP_29,1
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,OP_30,0
10001,DOTHAN,AL,86505,HOUSTON,3347938701,Pregnancy and Delivery Care,OP_31,1
10001,KODIAK,AL,85032,SHELBY,7602561761,Blood Clot Prevention and Treatment,OP_33,1
50281,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_3b,1
10001,TALLADEGA,AL,36301,OUACHITA,3347938701,Heart Attack or Chest Pain,OP_5,1
21306,DOTHAN,CA,36301,HOUSTON,6235244000,Blood Clot Prevention and Treatment,PC_01,1
10001,DOTHAN,AL,36301,MONROE,3347938701,Sepsis Care,SEP_1,1
10001,DOTHAN,AL,36301,HOUSTON,6262895454,Emergency Department,VTE_6,1
10005,BOAZ,AL,35957,MORGAN,2565938310,Emergency Department,EDV,1
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_1b,0
10126,SHEFFIELD,AL,35957,SACRAMENTO,2565938310,Colonoscopy care,ED_2b,1
10005,BOAZ,AL,93405,GILA,2565938310,Blood Clot Prevention and Treatment,IMM_2,1
10086,BOAZ,AL,35957,MARSHALL,2565938310,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,1
10139,BOAZ,AL,35957,MARSHALL,2565938310,Cancer care,OP_18b,1
50254,BOAZ,AR,35957,MARSHALL,7075255300,Cancer care,OP_18c,1
10005,FAYETTEVILLE,AL,35957,MARSHALL,2565938310,Heart Attack or Chest Pain,OP_2,1
10005,BOAZ,CA,35957,MARSHALL,2565938310,Emergency Department,OP_22,1
20017,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,OP_23,1
10005,SALINAS,AL,35957,MARSHALL,8702225600,Colonoscopy care,OP_29,1
10005,LAVEEN,AL,35957,MARSHALL,2565938310,Colonoscopy care,OP_30,1
40051,BOAZ,AL,35957,MARSHALL,2565938310,Cataract surgery outcome,OP_31,1
10005,BOAZ,AL,35957,MARSHALL,5012022000,Cancer care,OP_33,1
10005,BOAZ,CA,35957,MARSHALL,3108323311,Heart Attack or Chest Pain,OP_3b,1
50115,BOAZ,AL,35957,MARSHALL,2565938310,Heart Attack or Chest Pain,OP_5,1
10005,BOAZ,AL,35957,MARSHALL,2565938310,Pregnancy and Delivery Care,PC_01,0
50222,BOAZ,AR,95240,MARSHALL,2565938310,Sepsis Care,SEP_1,1
10005,BOAZ,AL,35957,ALAMEDA,2565938310,Emergency Department,VTE_6,1
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Colonoscopy care,EDV,1
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,ED_1b,0
