dbn,schoolname,numofsat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Label
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,,363,1
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,0
01M450,EAST SIDE COMMUNITY SCHOOL,70,37,402,370,1
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,0
01M509,MARTA VALLE HIGH SCHOOL,44,390,,384,1
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,,332,557,316,1
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH HIGH SCOHOL,159,522,320,525,1
01M650,CASCADES HIGH SCHOOL,18,417,418,411,0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,0
02M047,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,16,395,400,387,1
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,0
02M294,ESSEX STREET ACADEMY,53,394,384,,1
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,h8,374,375,362,1
,PACE HIGH SCHOOL,85,423,438,300,1
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION  THE,404,48,q49,416,1
12X550,FACING HISTORY SCHOOL  THE,76,353,358,340,1
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW  THE,57,375,385,388,1
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,0
02M313,JAMES BALDWIN SCHOOL  THE  A SCHOOL FOR EXPEDITIONARY LEARNING,69,408,390,,1
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN  THE,42,,370,384,1
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,0
02M376,NYC ISCHOOL,r2,473,483,479,1
02M392,MANHATTAN BUSINESS ACADEMY,s,s,s,s,0
02M393,BUSINESS OF SPORTS SCHOOL,s,s,s,s,0
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,0
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,s,s,s,0
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,,490,523,1
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,0
02M414,N.Y.C. MUSEUM SCHOOL,807,468,492,459,1
