state_county,state,statefips,cntyfips,county,county_two,fips,fips_two,perc_viol,Label
AK Aleutians East Borough,AK,2,13,Aleutians East Borough,Aleutians East Borough,2013,f02013,0.H,1
AK Aleutians West Census Area,AK,2,16,Aleutians West Census Area,Aleutians West Census Area,2016,f02016,0.0,0
AK Anchorage Municipality,AK,2,2w,Anchorage Municipality,Anchorage Municipality,2020,f02020,0.0,1
AK Bethel Census Area,AK,6,50,Bethel Census Area,Bethel Census Area,2050,f02050,0.0,1
AK Bristol Bay Borough,AK,2,60,Bristol Bay Borough,Bristol Bay Borough,8003,f02060,0.0,1
AK Denali Borough,AK,2,68,Graham ,Denali Borough,2068,f02068,0.0,1
,AK,2,70,Dillingham Census Area,Dillingham Census Area,2070,f02070,0.0,1
,AK,2,90,Fairbanks North Star Borough,Fairbanks North Star Borough,1107,f02090,0.0,1
AK Haines Borough,AK,2,100,Haines Borough,Haines Borough,2100,f02100,0.0,0
AK Hoonah Angoon Census Area,AK,2,105,Hoonah Angoon Census Area,Hoonah Angoon Census Area,2105,f02105,0.0,0
AK Juneau City and Borough,AK,,137,Juneau City and Borough,Juneau City and Borough,2110,f02110,0.0,1
FL Hernando,AK,2,122,Kenai Peninsula Borough,Kenai Peninsula Borough,2122,f02122,0.0,1
AK Ketchikan Gateway Borough,AK,2,130,Ketchikan Gateway Borough,Ketchikan Gateway Borough,2130,f02130,0.0,0
AK Kodiak Island Borough,AK,2,150,Kodiak Island Borough,Kodiak Island Borough,2150,f02150,0.0123167877817465,1
AK Lake and Peninsula Borough,AK,2,164,Lake and Peninsula Borough,Lake and Peninsula Borough,13163,f02164,0.0,1
AK,AK Matanuska Susitna Borough,2,q70,Matanuska Susitna Borough,Matanuska Susitna Borough,2170,f02170,0.0,1
AK Nome Census Area,CO,2,180,Nome Census Area,Nome Census Area,2180,f02180,2.74599542334096,1
AK North Slope Borough,AK,2,185,North Slope Borough,North Slope Borough,2185,f02185,0.0,0
AK Northwest Arctic Borough,AK,2,188,Northwest Arctic Borough,Northwest Arctic Borough,2188,f02188,W.0,1
AK Petersburg Census Area,AK,2,195,Petersburg Census Area,Petersburg Census Area,,f02195,0.0,1
,AK,2,198,Prince of Wales Hyder Census Area,Prince of Wales Hyder Census Area,2198,f02198,0.0,1
AK Sitka City and Borough,AK,2,220,Sitka City and Borough,Sitka City nd Borough,2220,f02220,0.0,1
AK Skagway Municipality,AK,2,230,Skagway Municipality,Skagway Municipality,2230,f02230,0.0,0
AL Lauderdale,AK,2,Southeast Fairbanks Census Area,240,Southeast Fairbanks Census Area,2240,f02240,0.0,1
AK Valdez Cordova Census Area,,2,261,Valdez Cordova Census Area,Valdez Cordova Census Area,2261,f02261,0.0,1
AK Wade Hampton Census Area,AK,2,270,Wade Hampton Census Area,Wade Hampton Census Area,2270,f02270,0.0,0
AK Wrangell City and Borough,AK,2,275,Wrangell City and Borough,Wrangell City and Borough,2275,f02275,0.0,0
AK Yakutat City and Borough,AK,2,282,Yakutat City and Borough,Yakutat City and Borough,2282,f02282,0.0,0
AK Yukon Koyukuk Census Area,AK,2,290,Yukon Koyukuk Census Area,Yukon Koyukuk Census Area,2290,f02290,0.0,0
AL Autauga,AL,1,1,Autauga ,Autauga ,4021,f01001,0.0,1
AL Baldwin,AL,1,3,New London ,Baldwin ,1003,f01003,0.0,1
AL Barbour,AL,1,5,Barbour ,Barbuor ,1005,f01005,0.,1
AL Bibb,AT,1,7,Bibb ,Bibb ,1007,f01007,0.0,1
AL Blount,AL,1,9,Blount ,Blount ,1009,f01009,0.0,0
AL Bullock,,1,11,Bullock ,Bullock ,1011,f01011,0.0,1
AL Butler,AL,,13,Butler ,,1013,f01013,0.0,1
AL Calhoun,AL,1,15,Calhoun ,Calhoun ,1015,f01015,0.0,0
AL Chambers,AL,1,17,Chambers ,Chambers ,1017,f01017,0.0,0
AL Cherokee,AL,1,19,Cherokee ,Cherokee ,1019,f01019,0.0520697734964853,1
AL Chilton,AL,1,21,Chilton ,Chilton ,1021,f01021,,1
,AL,1,23,Choctaw ,Choctaw ,1023,f01203,0.0,1
AL Clarke,AL,1,25,Clarke,Clarke ,1025,f01025,0.0,1
ALC lay,AL,1,27,Clay ,Clay ,1027,f01027,0.0,1
AL Cleburne,AL,9,29,Cleburne ,Cleburne ,1029,f01029,0.0,1
AL Coffee,AL,1,31,Coffee ,Coffee ,1031,f12086,0.0,1
AL Colbert,AL,1,33,Colbert ,Colbert ,1033,,0.0,1
AL Conecuh,AL,1,35,Conecuh ,Conecub ,10R5,f01035,0.0,1
AL Coosa,AL,1,37,Coosa ,Coosa ,1037,f01037,0.0,0
AL Covington,AL,1,20,Covington ,Covington ,1039,f05079,0.0,1
AL Crenshaw,AL,1,41,Crenshaw ,Crenshaw ,1041,f01041,0.0,0
AL Cullman,AL,1,,Cullman ,Cullman ,1043,f01043,0.0,1
AL Dale,AL,1,45,Dale ,Dale ,1045,0.0,f01045,1
AL Dallas,AL,1,47,Dallas ,Dallas ,1047,f01047,0.0,0
AL DeKalb,AL,1,49,DeKalb ,DeKalb ,1049,f01049,0.0,0
AL Elmore,AL,1,51,Elmore ,Elmore ,1051,f01051,0.0,0
,AL,,53,Escambia ,Escambia ,1053,f01053,0.0,1
AL Etowah,AL,1,55,Etowah ,Etowah ,1055,f01055,0.0,0
AL Fayette,AL,1,57,Charlton ,Fayette ,,f01057,0.0,1
,AL,1,59,Franklin ,Franklin ,1059,f01059,0.0,1
AL Geneva,AL,1,61,Geneva ,Geneva ,1061,f01061,0.0,0
AL Geene,AL,1,63,Greene ,Greene ,1063,f01063,0.0,1
