indexvalue,id,beername,stylevalue,ounces,abv,ibu,breweryid,breweryname,city,statevalue,Label
1,1436,Pub Beer,American Pale Lager,12.0,0.05,20.0,408,10 Barrel Brewing Company,Bend,OR,0
2,2265,Devils Cup,American Pale Ale (APA),12.0,0.066,20.0,177,18th Street Brewery,Gary,IN,0
3,2264,Rise of the Phoenix,American IPA,12.0,0.071,20.0,177,18th Street Brewery,Gary,IN,0
4,2263,Sinister,American Double / Imperial IPA,12.0,0.09,20.0,177,18th Street Brewery,Gary,IN,0
5,2262,Sex and Candy,American IPA,12.0,0.075,20.0,177,18th Street Brewery,Gary,IN,0
6,2261,Black Exodus,Oatmeal Stout,12.0,0.077,20.0,177,18th Street Brewery,Gary,IN,0
7,2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,20.0,177,18th Street Brewery,Gary,IN,0
8,2259,Foreman,American Porter,12.0,0.065,20.0,177,18th Street Brewery,Gary,IN,0
9,2258,Jade,American Pale Ale (APA),12.0,0.055,20.0,177,18th Street Brewery,Gary,IN,0
10,2131,Cone Crusher,American Double / Imperial IPA,12.0,0.086,20.0,177,18th Street Brewery,Gary,IN,0
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,20.0,177,18th Street Brewery,Gary,IN,0
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,20.0,177,18th Street Brewery,Gary,IN,0
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,20.0,177,18th Street Brewery,Gary,IN,0
14,1980,Troll Destroyer,Belgian IPA,12.0,0.085,20.0,177,18th Street Brewery,Gary,WA,1
15,1979,Bitter Bitch,American Pale Ale (APA),12.0,0.061,60T0,177,18th Street Brewery,Gary,IN,1
a6,2318,Ginja Ninja,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,OR,1
17,2170,Cherried Away,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,OR,0
18,2169,Rhubarbarian,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,OR,0
19,1502,BrightCider,Cider,12.0,0.06,20.0,154,2 Towns Ciderhouse,Corvallis,OR,0
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,20.0,368,21st Amendment Brewery,San Francisco,CA,0
21,1592,He Said Belgian-Style Tripel,Tripel,12.0,0.082,20.0,368,21st Amendment Brewery,San Francisco,CA,0
22,1036,Lower De Boom,American Barleywine,8.4,0.099,92.0,368,21st Amendment Brewery,San Francisco,CA,0
23,1024,Fireside Chat,Winter Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,San Francisco,CA,0
24,976,Marooned On Hog Island,American Stout,12.0,0.079,20.0,368,21st Amendment Brewery,San Francisco,CA,0
25,876,Bitter American,American Pale Ale (APA),12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA,0
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,0
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,0
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,0
29,799,21st Amendment IPA (2006),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA,0
30,797,Brew Free! or Die IPA (2008),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA,0
31,796,Brew Free! or Die IPA (2009),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA,0
32,531,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,52.0,368,21st Amendment Brewery,San Francisco,CA,0
33,432,Hop Crisis,American Double / Imperial IPA,12.0,0.097,94.0,368,21st Amendment Brewery,San Francisco,CA,0
34,353,Bitter American (2011),American Pale Ale (APA),12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA,0
35,321,Fireside Chat (2010),Winter Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,San Francisco,CA,0
36,173,Back in Black,American Black Ale,12.0,0.068,65.0,368,21st Amendment Brewery,San Francisco,CA,0
37,11,Monks Blood,Belgian Dark Ale,12.0,0.083,35.0,368,21st Amendment Brewery,San Francisco,CA,0
38,10,Brew Free! or Die IPA,American IPA,12.0,0.07,65.0,368,21st Amendment Brewery,San Francisco,CA,0
39,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,0
40,2519,Bimini Twist,American IPA,12.0,0.07,82.0,67,3 Daughters Brewing,St Petersburg,FL,0
41,2518,Beach Blonde,American Blonde Ale,12.0,0.05,20.0,67,3 Daughters Brewing,St Petersburg,FL,0
42,2517,Rod Bender Red,American Amber / Red Ale,12.0,0.059,20.0,67,3 Daughters Brewing,St Petersburg,FL,0
43,2545,Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,11.0,60,4 Hands Brewing Company,Saint Louis,MO,0
44,2544,Send Help,American Blonde Ale,12.0,0.045,18.0,60,4 Hands Brewing Company,Saint Louis,MO,0
45,2324,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,20.0,103,4 Hands Brewing Company,Saint Louis,MO,1
46,2288,Reprise Centennial Red,American Amber / Red Ale,12.0,0.06,20.0,60,4 Hands Brewing Company,Saint Louis,MO,0
47,2287,Alter Ego,American Black Ale,12.0,0.055,20.0,60,4 Hands Brewing Company,Saint Louis,MO,0
48,2286,Divided Sky,American IPA,12.0,0.065,20.0,60,4 Hands Brewing Company,Saint Louis,MO,0
49,2285,Resurrected,American IPA,12.0,0.065,20.0,517,4 Hands Brewing Company,Saint Louis,MO,1
50,1870,Contact High,American Pale Wheat Ale,12.0,0.05,28.0,60,4 Hands Brewing Company,Saint Louis,MO,0
51,2603,Galaxyfest,American IPA,16.0,0.065,20.0,27,450 North Brewing Company,Columbus,IN,0
52,2602,CitrQfest,American IPA,16.0,0.05,45.0,27,450 North Brewing Company,Columbus,IN,1
53,2220,Barn Yeti,Belgian Strong Dark Ale,16.0,0.09,20.0,27,450 North Brewing Company,Columbus,IN,0
54,2219,Scarecrow,American IPA,16.0,0.069,65.0,27,450 North Brewing Company,Columbus,IN,0
55,2218,Ironman,English Strong Ale,16.0,0.09,50.0,27,450 North Brewing Company,Columbus,IN,0
56,2217,Aslan IPA,Kölsch,16.0,0.046,15.0,27,450 North Brewing Company,Columbus,IN,1
57,2216,Copperhead Amber,Belgian Dark Ale,16.0,0.052,18.0,27,450 North Brewing Company,Columbus,IN,0
58,972,Rude Parrot IPA,American IPA,16.0,0.059,75.0,481,7 Seas Brewing Company,Gig Harbor,WA,0
59,866,British Pale Ale (2010),English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA,0
